"","Overall","Value","Valor"
"377",81,"€21M",21000000
"378",81,"€16M",16000000
"379",81,"€15.5M",15500000
"380",81,"€17.5M",17500000
"381",81,"€23M",23000000
"382",81,"€18.5M",18500000
"383",81,"€18M",18000000
"384",81,"€16M",16000000
"385",81,"€17.5M",17500000
"386",81,"€10M",10000000
"387",81,"€13M",13000000
"388",81,"€14M",14000000
"389",81,"€14M",14000000
"390",81,"€11M",11000000
"391",81,"€15.5M",15500000
"392",81,"€15M",15000000
"393",81,"€7M",7000000
"394",81,"€15.5M",15500000
"395",81,"€17M",17000000
"396",81,"€21M",21000000
"397",81,"€14.5M",14500000
"398",81,"€17.5M",17500000
"399",81,"€16.5M",16500000
"400",81,"€10M",10000000
"401",81,"€9M",9000000
"402",81,"€15M",15000000
"403",81,"€11M",11000000
"404",81,"€8M",8000000
"405",81,"€14M",14000000
"406",81,"€14M",14000000
"407",81,"€17.5M",17500000
"408",81,"€11M",11000000
"409",81,"€15.5M",15500000
"410",81,"€13.5M",13500000
"411",81,"€5.5M",5500000
"412",81,"€6M",6000000
"413",80,"€20.5M",20500000
"414",80,"€22M",22000000
"415",80,"€22.5M",22500000
"416",80,"€23.5M",23500000
"417",80,"€21M",21000000
"418",80,"€18.5M",18500000
"419",80,"€19.5M",19500000
"420",80,"€10.5M",10500000
"421",80,"€4.5M",4500000
"422",80,"€21M",21000000
"423",80,"€15.5M",15500000
"424",80,"€16M",16000000
"425",80,"€17.5M",17500000
"426",80,"€17M",17000000
"427",80,"€14.5M",14500000
"428",80,"€20M",20000000
"429",80,"€12.5M",12500000
"430",80,"€20.5M",20500000
"431",80,"€20M",20000000
"432",80,"€12M",12000000
"433",80,"€17.5M",17500000
"434",80,"€14.5M",14500000
"435",80,"€17M",17000000
"436",80,"€20M",20000000
"437",80,"€18.5M",18500000
"438",80,"€20M",20000000
"439",80,"€14M",14000000
"440",80,"€9M",9000000
"441",80,"€20M",20000000
"442",80,"€20M",20000000
"443",80,"€19.5M",19500000
"444",80,"€16.5M",16500000
"445",80,"€19.5M",19500000
"446",80,"€15M",15000000
"447",80,"€19.5M",19500000
"448",80,"€13M",13000000
"449",80,"€19.5M",19500000
"450",80,"€19.5M",19500000
"451",80,"€15.5M",15500000
"452",80,"€15.5M",15500000
"453",80,"€12M",12000000
"454",80,"€16.5M",16500000
"455",80,"€12M",12000000
"456",80,"€19M",19000000
"457",80,"€17.5M",17500000
"458",80,"€14M",14000000
"459",80,"€17.5M",17500000
"460",80,"€19.5M",19500000
"461",80,"€14.5M",14500000
"462",80,"€11.5M",11500000
"463",80,"€13M",13000000
"464",80,"€16.5M",16500000
"465",80,"€14M",14000000
"466",80,"€14M",14000000
"467",80,"€14.5M",14500000
"468",80,"€15.5M",15500000
"469",80,"€18.5M",18500000
"470",80,"€16.5M",16500000
"471",80,"€16M",16000000
"472",80,"€11.5M",11500000
"473",80,"€11.5M",11500000
"474",80,"€14.5M",14500000
"475",80,"€16M",16000000
"476",80,"€17.5M",17500000
"477",80,"€16M",16000000
"478",80,"€11.5M",11500000
"479",80,"€17.5M",17500000
"480",80,"€18M",18000000
"481",80,"€19.5M",19500000
"482",80,"€15.5M",15500000
"483",80,"€15M",15000000
"484",80,"€12M",12000000
"485",80,"€15.5M",15500000
"486",80,"€15M",15000000
"487",80,"€13.5M",13500000
"488",80,"€12M",12000000
"489",80,"€15M",15000000
"490",80,"€15.5M",15500000
"491",80,"€15.5M",15500000
"492",80,"€12M",12000000
"493",80,"€11.5M",11500000
"494",80,"€12M",12000000
"495",80,"€12.5M",12500000
"496",80,"€17.5M",17500000
"497",80,"€15.5M",15500000
"498",80,"€15M",15000000
"499",80,"€16M",16000000
"500",80,"€9M",9000000
"501",80,"€18.5M",18500000
"502",80,"€14M",14000000
"503",80,"€12M",12000000
"504",80,"€11.5M",11500000
"505",80,"€14.5M",14500000
"506",80,"€12M",12000000
"507",80,"€15M",15000000
"508",80,"€13.5M",13500000
"509",80,"€10M",10000000
"510",80,"€12.5M",12500000
"511",80,"€13.5M",13500000
"512",80,"€10.5M",10500000
"513",80,"€7M",7000000
"514",80,"€11.5M",11500000
"515",80,"€13.5M",13500000
"516",80,"€10M",10000000
"517",80,"€11M",11000000
"518",80,"€15.5M",15500000
"519",80,"€9.5M",9500000
"520",80,"€8M",8000000
"521",80,"€12.5M",12500000
"522",80,"€11M",11000000
"523",80,"€13.5M",13500000
"524",80,"€9M",9000000
"525",80,"€13M",13000000
"526",80,"€9M",9000000
"527",80,"€10M",10000000
"528",80,"€11.5M",11500000
"529",80,"€15.5M",15500000
"530",80,"€13M",13000000
"531",80,"€13.5M",13500000
"532",80,"€6M",6000000
"533",80,"€10M",10000000
"534",80,"€8.5M",8500000
"535",80,"€6M",6000000
"536",80,"€8.5M",8500000
"537",80,"€4.5M",4500000
"538",80,"€12M",12000000
"539",80,"€12M",12000000
"540",80,"€8.5M",8500000
"541",80,"€4.5M",4500000
"542",80,"€5.5M",5500000
"543",80,"€2M",2000000
"544",80,"€8.5M",8500000
"545",80,"€11.5M",11500000
"546",80,"€4.5M",4500000
"547",80,"€6M",6000000
"548",80,"€1.7M",1700000
"549",80,"€6M",6000000
"550",80,"€6M",6000000
"551",80,"€12M",12000000
"552",80,"€8M",8000000
"553",80,"€1M",1000000
"554",79,"€18M",18000000
"555",79,"€15M",15000000
"556",79,"€18M",18000000
"557",79,"€18M",18000000
"558",79,"€18M",18000000
"559",79,"€18M",18000000
"560",79,"€18M",18000000
"561",79,"€19.5M",19500000
"562",79,"€12M",12000000
"563",79,"€9M",9000000
"564",79,"€9.5M",9500000
"565",79,"€9.5M",9500000
"566",79,"€3.6M",3600000
"567",79,"€19M",19000000
"568",79,"€18M",18000000
"569",79,"€10M",10000000
"570",79,"€14.5M",14500000
"571",79,"€16M",16000000
"572",79,"€15.5M",15500000
"573",79,"€18M",18000000
"574",79,"€15M",15000000
"575",79,"€17M",17000000
"576",79,"€10M",10000000
"577",79,"€17.5M",17500000
"578",79,"€15M",15000000
"579",79,"€12M",12000000
"580",79,"€17M",17000000
"581",79,"€14.5M",14500000
"582",79,"€14.5M",14500000
"583",79,"€16M",16000000
"584",79,"€17.5M",17500000
"585",79,"€14.5M",14500000
"586",79,"€17M",17000000
"587",79,"€18M",18000000
"588",79,"€12.5M",12500000
"589",79,"€16M",16000000
"590",79,"€13M",13000000
"591",79,"€11.5M",11500000
"592",79,"€14.5M",14500000
"593",79,"€14.5M",14500000
"594",79,"€17M",17000000
"595",79,"€15M",15000000
"596",79,"€16M",16000000
"597",79,"€16.5M",16500000
"598",79,"€15.5M",15500000
"599",79,"€13.5M",13500000
"600",79,"€17.5M",17500000
"601",79,"€15M",15000000
"602",79,"€14.5M",14500000
"603",79,"€10M",10000000
"604",79,"€13M",13000000
"605",79,"€10M",10000000
"606",79,"€14.5M",14500000
"607",79,"€11.5M",11500000
"608",79,"€12.5M",12500000
"609",79,"€15.5M",15500000
"610",79,"€14M",14000000
"611",79,"€17.5M",17500000
"612",79,"€13M",13000000
"613",79,"€11.5M",11500000
"614",79,"€12M",12000000
"615",79,"€14M",14000000
"616",79,"€10M",10000000
"617",79,"€14M",14000000
"618",79,"€11.5M",11500000
"619",79,"€14.5M",14500000
"620",79,"€15M",15000000
"621",79,"€17.5M",17500000
"622",79,"€16M",16000000
"623",79,"€16M",16000000
"624",79,"€14M",14000000
"625",79,"€12M",12000000
"626",79,"€12M",12000000
"627",79,"€10M",10000000
"628",79,"€16.5M",16500000
"629",79,"€13M",13000000
"630",79,"€13M",13000000
"631",79,"€10M",10000000
"632",79,"€7M",7000000
"633",79,"€13M",13000000
"634",79,"€12M",12000000
"635",79,"€12.5M",12500000
"636",79,"€15M",15000000
"637",79,"€15.5M",15500000
"638",79,"€15.5M",15500000
"639",79,"€14.5M",14500000
"640",79,"€11M",11000000
"641",79,"€16M",16000000
"642",79,"€12.5M",12500000
"643",79,"€12M",12000000
"644",79,"€16M",16000000
"645",79,"€10.5M",10500000
"646",79,"€12.5M",12500000
"647",79,"€10.5M",10500000
"648",79,"€12M",12000000
"649",79,"€15.5M",15500000
"650",79,"€9M",9000000
"651",79,"€15.5M",15500000
"652",79,"€12M",12000000
"653",79,"€13M",13000000
"654",79,"€12.5M",12500000
"655",79,"€12.5M",12500000
"656",79,"€9M",9000000
"657",79,"€14.5M",14500000
"658",79,"€10M",10000000
"659",79,"€13M",13000000
"660",79,"€13M",13000000
"661",79,"€14.5M",14500000
"662",79,"€13M",13000000
"663",79,"€11.5M",11500000
"664",79,"€8M",8000000
"665",79,"€9.5M",9500000
"666",79,"€10M",10000000
"667",79,"€10.5M",10500000
"668",79,"€9.5M",9500000
"669",79,"€15M",15000000
"670",79,"€10M",10000000
"671",79,"€10M",10000000
"672",79,"€12M",12000000
"673",79,"€13M",13000000
"674",79,"€12.5M",12500000
"675",79,"€11.5M",11500000
"676",79,"€9.5M",9500000
"677",79,"€10M",10000000
"678",79,"€12.5M",12500000
"679",79,"€12M",12000000
"680",79,"€7M",7000000
"681",79,"€12.5M",12500000
"682",79,"€12M",12000000
"683",79,"€9.5M",9500000
"684",79,"€12M",12000000
"685",79,"€8.5M",8500000
"686",79,"€12.5M",12500000
"687",79,"€7M",7000000
"688",79,"€11.5M",11500000
"689",79,"€11.5M",11500000
"690",79,"€13M",13000000
"691",79,"€11.5M",11500000
"692",79,"€12M",12000000
"693",79,"€8M",8000000
"694",79,"€7.5M",7500000
"695",79,"€11.5M",11500000
"696",79,"€10M",10000000
"697",79,"€11.5M",11500000
"698",79,"€7M",7000000
"699",79,"€8.5M",8500000
"700",79,"€8M",8000000
"701",79,"€7.5M",7500000
"702",79,"€10M",10000000
"703",79,"€10M",10000000
"704",79,"€7M",7000000
"705",79,"€12.5M",12500000
"706",79,"€6.5M",6500000
"707",79,"€7M",7000000
"708",79,"€11M",11000000
"709",79,"€8.5M",8500000
"710",79,"€8M",8000000
"711",79,"€10M",10000000
"712",79,"€7.5M",7500000
"713",79,"€11M",11000000
"714",79,"€7M",7000000
"715",79,"€7.5M",7500000
"716",79,"€6M",6000000
"717",79,"€3.8M",3800000
"718",79,"€10M",10000000
"719",79,"€6.5M",6500000
"720",79,"€3.6M",3600000
"721",79,"€6.5M",6500000
"722",79,"€4M",4000000
"723",78,"€14M",14000000
"724",78,"€14M",14000000
"725",78,"€16M",16000000
"726",78,"€13M",13000000
"727",78,"€12.5M",12500000
"728",78,"€14M",14000000
"729",78,"€15.5M",15500000
"730",78,"€12M",12000000
"731",78,"€14M",14000000
"732",78,"€14M",14000000
"733",78,"€14M",14000000
"734",78,"€9M",9000000
"735",78,"€7.5M",7500000
"736",78,"€5M",5000000
"737",78,"€7.5M",7500000
"738",78,"€12.5M",12500000
"739",78,"€12.5M",12500000
"740",78,"€13M",13000000
"741",78,"€14.5M",14500000
"742",78,"€13M",13000000
"743",78,"€14M",14000000
"744",78,"€12M",12000000
"745",78,"€14M",14000000
"746",78,"€6M",6000000
"747",78,"€13.5M",13500000
"748",78,"€14M",14000000
"749",78,"€13M",13000000
"750",78,"€14.5M",14500000
"751",78,"€13.5M",13500000
"752",78,"€14.5M",14500000
"753",78,"€15.5M",15500000
"754",78,"€13.5M",13500000
"755",78,"€10.5M",10500000
"756",78,"€12.5M",12500000
"757",78,"€9M",9000000
"758",78,"€14M",14000000
"759",78,"€13M",13000000
"760",78,"€10.5M",10500000
"761",78,"€12M",12000000
"762",78,"€10M",10000000
"763",78,"€13M",13000000
"764",78,"€12.5M",12500000
"765",78,"€8.5M",8500000
"766",78,"€10.5M",10500000
"767",78,"€10M",10000000
"768",78,"€15M",15000000
"769",78,"€12.5M",12500000
"770",78,"€10M",10000000
"771",78,"€14M",14000000
"772",78,"€16M",16000000
"773",78,"€7.5M",7500000
"774",78,"€11.5M",11500000
"775",78,"€10.5M",10500000
"776",78,"€9M",9000000
"777",78,"€11M",11000000
"778",78,"€11M",11000000
"779",78,"€12M",12000000
"780",78,"€14M",14000000
"781",78,"€13M",13000000
"782",78,"€8M",8000000
"783",78,"€12.5M",12500000
"784",78,"€10.5M",10500000
"785",78,"€9.5M",9500000
"786",78,"€14M",14000000
"787",78,"€12.5M",12500000
"788",78,"€13.5M",13500000
"789",78,"€12M",12000000
"790",78,"€13.5M",13500000
"791",78,"€12M",12000000
"792",78,"€12.5M",12500000
"793",78,"€14M",14000000
"794",78,"€11M",11000000
"795",78,"€11.5M",11500000
"796",78,"€13.5M",13500000
"797",78,"€14M",14000000
"798",78,"€10M",10000000
"799",78,"€12.5M",12500000
"800",78,"€8.5M",8500000
"801",78,"€13.5M",13500000
"802",78,"€10.5M",10500000
"803",78,"€8M",8000000
"804",78,"€14M",14000000
"805",78,"€14M",14000000
"806",78,"€15M",15000000
"807",78,"€9.5M",9500000
"808",78,"€14M",14000000
"809",78,"€13M",13000000
"810",78,"€14M",14000000
"811",78,"€13.5M",13500000
"812",78,"€10.5M",10500000
"813",78,"€12.5M",12500000
"814",78,"€8.5M",8500000
"815",78,"€10.5M",10500000
"816",78,"€10.5M",10500000
"817",78,"€10M",10000000
"818",78,"€12.5M",12500000
"819",78,"€10M",10000000
"820",78,"€12M",12000000
"821",78,"€11M",11000000
"822",78,"€11M",11000000
"823",78,"€10.5M",10500000
"824",78,"€8.5M",8500000
"825",78,"€12M",12000000
"826",78,"€11.5M",11500000
"827",78,"€12M",12000000
"828",78,"€12M",12000000
"829",78,"€11M",11000000
"830",78,"€9.5M",9500000
"831",78,"€11M",11000000
"832",78,"€11M",11000000
"833",78,"€10.5M",10500000
"834",78,"€12.5M",12500000
"835",78,"€10M",10000000
"836",78,"€10M",10000000
"837",78,"€10.5M",10500000
"838",78,"€7M",7000000
"839",78,"€11M",11000000
"840",78,"€9M",9000000
"841",78,"€13M",13000000
"842",78,"€11.5M",11500000
"843",78,"€10.5M",10500000
"844",78,"€10.5M",10500000
"845",78,"€9.5M",9500000
"846",78,"€9.5M",9500000
"847",78,"€10M",10000000
"848",78,"€9.5M",9500000
"849",78,"€10M",10000000
"850",78,"€13M",13000000
"851",78,"€5M",5000000
"852",78,"€10.5M",10500000
"853",78,"€10M",10000000
"854",78,"€5.5M",5500000
"855",78,"€11M",11000000
"856",78,"€9.5M",9500000
"857",78,"€9.5M",9500000
"858",78,"€7.5M",7500000
"859",78,"€10M",10000000
"860",78,"€6.5M",6500000
"861",78,"€10.5M",10500000
"862",78,"€10M",10000000
"863",78,"€10M",10000000
"864",78,"€8M",8000000
"865",78,"€10.5M",10500000
"866",78,"€10M",10000000
"867",78,"€2.4M",2400000
"868",78,"€6M",6000000
"869",78,"€8M",8000000
"870",78,"€2.9M",2900000
"871",78,"€7M",7000000
"872",78,"€6.5M",6500000
"873",78,"€7M",7000000
"874",78,"€8M",8000000
"875",78,"€10M",10000000
"876",78,"€9M",9000000
"877",78,"€6M",6000000
"878",78,"€9M",9000000
"879",78,"€12.5M",12500000
"880",78,"€9M",9000000
"881",78,"€9.5M",9500000
"882",78,"€10M",10000000
"883",78,"€4M",4000000
"884",78,"€8.5M",8500000
"885",78,"€6.5M",6500000
"886",78,"€7M",7000000
"887",78,"€6M",6000000
"888",78,"€10M",10000000
"889",77,"€12M",12000000
"890",77,"€8M",8000000
"891",77,"€9M",9000000
"892",77,"€12M",12000000
"893",77,"€7.5M",7500000
"894",77,"€11M",11000000
"895",77,"€8.5M",8500000
"896",77,"€7M",7000000
"897",77,"€8.5M",8500000
"898",77,"€8.5M",8500000
"899",77,"€11.5M",11500000
"900",77,"€3.6M",3600000
"901",77,"€6.5M",6500000
"902",77,"€11.5M",11500000
"903",77,"€9.5M",9500000
"904",77,"€9M",9000000
"905",77,"€4.7M",4700000
"906",77,"€4.1M",4100000
"907",77,"€9M",9000000
"908",77,"€2.1M",2100000
"909",77,"€10M",10000000
"910",77,"€10.5M",10500000
"911",77,"€10M",10000000
"912",77,"€10M",10000000
"913",77,"€7M",7000000
"914",77,"€8.5M",8500000
"915",77,"€5M",5000000
"916",77,"€8M",8000000
"917",77,"€13M",13000000
"918",77,"€3.6M",3600000
"919",77,"€8.5M",8500000
"920",77,"€10.5M",10500000
"921",77,"€600K",600000
"922",77,"€9M",9000000
"923",77,"€9M",9000000
"924",77,"€2.7M",2700000
"925",77,"€11M",11000000
"926",77,"€10M",10000000
"927",77,"€11.5M",11500000
"928",77,"€9.5M",9500000
"929",77,"€10.5M",10500000
"930",77,"€8M",8000000
"931",77,"€9.5M",9500000
"932",77,"€7M",7000000
"933",77,"€12.5M",12500000
"934",77,"€6.5M",6500000
"935",77,"€6.5M",6500000
"936",77,"€7M",7000000
